platform,developer,releasedate,metascore
DC,Capcom,1-Oct-00,62
PS,S-Neo,29-Apr-00,62
PC,Red Storm Entertainment,28-Sep-00,62
PS2,From Software,24-Oct-00,62
PS,Monster Games Inc.,6-Nov-00,62
PS,Infogrames Sheffield,5-Sep-00,62
DC,UDS,30-Nov-00,62
PS,Reflections Interactive,13-Nov-00,62
PC,Daydream Software,14-Dec-00,62
PC,Paradox Development Studio,9-Nov-00,61
PS,Black Ops Entertainment,6-Nov-00,61
PS,Natsume,6-Nov-00,61
DC,KCEO,26-Sep-00,61
DC,Rayland Interactive,18-Dec-00,61
DC,Krome Studios,11-Dec-00,61
PS,Argonaut Games,10-Oct-00,61
PC,Silicon Dreams,30-Jul-00,61
PS,Bitmap Brothers,24-Oct-00,60
PC,Mission Studios,8-Nov-00,60
PS,Empire Interactive,14-Jul-00,60
DC,Saffire,30-Oct-00,60
DC,Core Design Ltd.,19-Nov-00,59
PC,Capcom,4-Dec-00,59
DC,Atari Games (Midway),30-May-00,59
PC,King of the Jungle,23-Sep-00,59
DC,Tremor Entertainment,29-Oct-00,59
PS2,From Software,24-Oct-00,59
N64,Digital Eclipse,14-Nov-00,59
DC,Dynamix,4-Dec-00,59
DC,Avalanche Software,6-Dec-00,58
DC,Artech Digital Entertainment,30-Nov-00,58
N64,Infogrames,15-Jun-00,58
PS,Namco,16-Oct-00,57
PC,Sierra Entertainment,30-Sep-00,57
PS,Vicarious Visions,29-Aug-00,57
N64,Ambrella,5-Nov-00,57
N64,High Voltage Software,23-Aug-00,57
PC,Core Design Ltd.,21-Nov-00,57
PS,Attention To Detail,31-Jul-00,57
PS2,989 Sports,18-Dec-00,57
PS,Krome Studios,4-Dec-00,57
DC,Traveller's Tales,30-Jun-00,57
PC,Human Head Studios,30-Oct-00,56
PC,O3 Games,31-Dec-00,56
PS,Idol Minds,31-Oct-00,56
N64,Player 1,16-Nov-00,55
DC,Traveller's Tales,26-Sep-00,55
PC,Criterion Games,14-Dec-00,55
PC,Ritual Entertainment,25-Nov-00,55
PS,989 Sports,13-Nov-00,55
PS,Rebellion,30-Nov-00,55
PC,Konami,4-Dec-00,55
PS2,Shade,23-Oct-00,54
DC,Sega,13-Nov-00,54
N64,Opus,14-Jul-00,54
PS,Traveller's Tales,26-Sep-00,54
PS2,Takara,6-Nov-00,54
DC,Disney Interactive,24-Nov-00,53
PS,Opus,13-Nov-00,53
PC,Planet4,31-Dec-00,53
DC,Attention To Detail,31-Aug-00,53
PS,Sinister Games,7-Nov-00,53
PC,14 Degrees East,7-Sep-00,52
PC,Arxel Tribe,30-Nov-00,52
DC,Mucky Foot Productions,13-Nov-00,52
PS,Eutechnyx,20-Nov-00,51
PC,Attention To Detail,25-Aug-00,51
PS,Heavy Iron Studios,4-Dec-00,51
PS2,SCEA,13-Nov-00,51
PS,Vingt-et-un Systems,14-Jul-00,51
DC,Artificial Mind and Movement,31-Oct-00,51
PC,"MotiveTime, Ltd.",7-Sep-00,51
PS,Hammerhead,23-Nov-00,51
PS,3DO,29-Feb-00,50
DC,Runecraft,24-Oct-00,50
PS2,989 Sports,18-Dec-00,49
DC,Heavy Iron Studios,17-Dec-00,49
PS,Climax Entertainment,19-May-00,49
N64,Kodiak Interactive,12-Dec-00,48
PC,Torus Games,14-Dec-00,48
PC,"1C, 1C Company",31-Dec-00,48
PS,3DO,21-Nov-00,48
PS,"Z-Axis, Ltd.",5-Nov-00,48
PC,JoWooD Entertainment AG,30-Sep-00,48
DC,Wow Entertainment,17-Jul-00,48
PS,Carapace,13-Nov-00,48
PC,Krome Studios,19-Nov-00,47
PC,Digital Fusion Inc.,14-Jun-00,46
PC,Rebellion,17-Nov-00,46
N64,3DO,26-Sep-00,46
PS2,Opus,26-Oct-00,46
PC,Random Games Inc.,24-Oct-00,46
DC,High Voltage Software,30-Jul-00,44
